subID,sub,run,trial,direction,ResponseTime,MovementTime,ErrorAngle,AccelerationAngle,Accuracy,TimePeakVelocity,DistancePeakVelocity,PeakVelocity,PeakAcceleration,InitialDirectionAngle,Outlier,Keep,age,dist_sums,dist_std,dist_max,dist_means,path_lengths,angular_averages
VML_MEG_002,1,1,1,-1,0.349,1.024,6.1214,3.3388,1,0.472,4.2234,53.232,1055.9,6.13242183062749,0,1,1,470.027671806009,1.16313751604034,3.33573767891444,1.56675890602003,11.9226736973301,-6.34499293603903
VML_MEG_002,1,1,2,1,0.299,1.167,-9.1269,-14.448,1,0.458,7.1193,81.01,775.67,-9.17380017342147,0,1,1,1525.92486637896,3.63763760897668,11.1765936819531,5.08641622126321,17.9006748215809,-32.1657918628373
VML_MEG_002,1,1,3,-1,0.384,1.069,-3.3358,-0.89402,1,0.652,3.5761,21.126,115.09,-3.33179163078165,0,1,1,443.632784702694,0.966718549307067,2.83061669091997,1.47877594900898,11.321174394425,8.31400071409517
VML_MEG_002,1,1,4,1,0.223,1.056,-12.828,-14.048,1,0.401,3.8744,44.545,411.77,-12.7689987212128,0,1,1,568.754458539754,1.12646232312034,3.65928731804406,1.89584819513251,12.1476632393838,-35.1868747301977
VML_MEG_002,1,1,5,1,0.318,1.148,9.7389,2.669,1,0.434,3.2286,35.7,602.37,9.57738042369617,0,1,1,852.283176791599,1.52884149927627,4.9060389134206,2.84094392263866,11.530835801855,5.06014056881862
VML_MEG_002,1,1,6,-1,0.31,0.695,-4.093,8.2396,1,0.461,4.9633,48.484,546.11,-4.14013897129251,0,1,1,707.34017962654,1.54846144827142,4.44121394312548,2.35780059875513,11.3502839951353,-90.3271151645115
VML_MEG_002,1,1,7,-1,0.286,1.204,-11.024,-8.3658,1,0.493,4.4076,40.616,342.04,-10.949046392159,0,1,1,1132.58962183419,2.58373679993256,7.52047180535655,3.77529873944731,15.2586828956167,-6.14120978350725
VML_MEG_002,1,1,8,-1,0.343,1.059,3.5511,6.4576,1,0.527,4.5116,34.513,954.48,3.55047083836861,0,1,1,617.458638444169,1.39591210873885,4.14320091900032,2.05819546148056,11.6694814936097,-15.1020420412041
VML_MEG_002,1,1,9,1,0.323,1.156,-29.406,-17.772,1,0.468,3.8146,35.047,466.65,-29.3144664891247,0,1,1,1124.52873222989,2.18850497365866,6.70075956730821,3.74842910743296,14.3827209225019,-34.0674816002925
VML_MEG_002,1,1,10,1,0.289,1.21,-9.8769,2.1297,1,0.438,4.805,45.362,630.55,-9.89906030161558,0,1,1,1080.08508712998,2.07275900163399,6.02881838846014,3.60028362376661,15.1608838890893,-82.9960840279663
VML_MEG_002,1,2,1,1,0.267,1.213,48.752,45.323,1,0.448,4.7811,50.156,457.34,48.745759458004,0,1,1,1197.23946677219,2.4362966512042,7.32684722842895,3.99079822257397,18.635858735874,87.4183681001364
VML_MEG_002,1,2,2,1,0.297,1.19,30.306,23.094,1,0.412,3.1517,38.712,678.73,30.2827254825173,0,1,1,1017.76824790521,1.83334594190364,5.6294901416225,3.39256082635071,14.3031030329393,99.4408924789485
VML_MEG_002,1,2,3,-1,0.326,1.174,39.262,49.489,1,0.449,4.053,37.983,946.45,39.2634899030624,0,1,1,1326.36103020704,2.13911228824871,6.64021948599427,4.42120343402346,18.959438495296,-2.43258356898233
VML_MEG_002,1,2,4,-1,0.325,1.168,48.468,42.882,1,0.418,6.0952,86.772,5959.1,48.4552016486681,0,1,1,2055.09815379352,3.90620249284264,12.0473136375126,6.85032717931172,29.4312966131899,27.233386034354
VML_MEG_002,1,2,5,1,0.187,0.856,17.855,38.408,1,0.483,7.3863,38.725,326.38,17.9337092481673,0,1,1,608.976676112069,1.09548656831424,3.78265513700129,2.0299222537069,12.8241715253262,15.3284887874178
VML_MEG_002,1,2,6,-1,0.272,1.167,47.927,52.149,1,0.477,6.1288,66.479,559.63,47.8792857477042,0,1,1,1569.4659098705,3.01705534544802,8.79321872134417,5.23155303290167,24.6809931644077,58.0072469103243
VML_MEG_002,1,2,7,1,0.07,1.087,11.222,15.446,1,0.48,7.0001,28.727,223.91,11.1310529450975,0,1,1,646.336325431958,1.53382567233766,4.73566047092453,2.15445441810653,12.7045995116813,21.2008679294027
VML_MEG_002,1,2,8,-1,0.265,1.221,28.144,-113.87,1,0.527,8.451,44.347,521.41,28.2423817282981,0,1,1,1346.55384730215,2.78134846841781,8.63988537594002,4.48851282434049,16.9422346595961,33.7756958989467
VML_MEG_002,1,2,9,1,0.276,1.171,3.5834,15.897,1,0.47,5.2182,51.468,404.68,3.44895446955382,0,1,1,1000.12593176818,2.18440635845361,6.75207135266405,3.33375310589392,10.5629978449252,148.761179164437
VML_MEG_002,1,2,10,1,0.2,0.556,37.856,44.178,1,0.351,3.381,32.834,298.23,37.7916923005352,0,1,1,653.210605709962,1.03903279630492,3.45355651574527,2.17736868569988,13.669490542853,62.9810389025832
VML_MEG_002,1,2,11,-1,0.32,1.155,20.224,17.792,1,0.515,7.1785,68.755,556.02,20.2475392356805,0,1,1,1039.97907048234,2.67407546493513,7.70777141205959,3.4665969016078,18.0074762358519,-34.0130682684414
VML_MEG_002,1,2,12,1,0.035,1.206,33.323,53.312,1,0.497,5.6806,24.157,160.16,33.3334586574487,0,1,1,652.667835398143,1.10553234683235,3.43628367480899,2.17555945132714,13.7152811163416,111.621156586296
VML_MEG_002,1,2,13,1,0.071,0.495,10.161,32.213,1,0.52,10.138,32.921,220.07,10.2356264863771,0,1,1,715.053569524675,1.14777117414653,3.77671267843284,2.38351189841558,13.301652218788,115.618980320494
VML_MEG_002,1,2,14,-1,0.336,1.159,26.834,-141.47,1,0.553,4.9293,41.077,261.54,26.8316902056166,0,1,1,954.733817110602,2.02286051263524,6.02828880895167,3.18244605703534,13.1487398281195,33.3589284074208
VML_MEG_002,1,2,15,1,0.198,1.231,2.8551,15.068,1,0.387,4.4893,47.224,379.26,2.81610703464856,0,1,1,779.293613266905,1.6780751951386,5.54237888696039,2.59764537755635,14.324019406786,105.458353939618
VML_MEG_002,1,2,16,-1,0.243,1.104,30.218,51.839,1,0.404,3.4311,34.292,312.49,30.2178316611269,0,1,1,670.874048065255,1.23888963440721,4.06128577131095,2.23624682688418,13.0740440249461,2.93673830623161
VML_MEG_002,1,2,17,1,0.226,1.228,13.708,25.868,1,0.483,7.9594,42.29,431.61,13.7315473131784,0,1,1,847.100955432698,1.89470175084205,5.69802107812034,2.82366985144233,13.4095594070314,-22.7999166534944
VML_MEG_002,1,2,18,-1,0.055,1.226,28.161,0.16142,1,0.465,4.3701,32.323,306.95,28.0819050214505,0,1,1,627.274510017524,1.22605995533068,4.19349394382358,2.09091503339175,14.4640096973454,48.2402013722426
VML_MEG_002,1,2,19,1,0.221,1.278,5.1496,36.451,1,0.528,4.5504,23.184,166.89,5.12922361434733,0,1,1,510.048930308502,0.920073030338484,3.16827351091621,1.70016310102834,10.2825718570456,23.9346997369901
VML_MEG_002,1,2,20,-1,0.325,0.729,24.95,-136.46,1,0.456,5.3391,50.099,986.59,24.8973945864346,0,1,1,1017.80093753374,1.9648631343252,6.23914271092831,3.39266979177915,13.0290880757161,12.9046445195778
VML_MEG_002,1,2,21,-1,0.316,1.171,31.117,44.209,1,0.529,4.4952,36.793,272.23,31.071306504708,0,1,1,1123.02124061701,2.13323553799029,6.27296202462216,3.74340413539003,18.1988851262855,39.9996047375626
