experiment_type,emotion_type,sampling_strategy,subset_size,Mean_Diff,Std_Diff,Count,Min_Diff,Max_Diff
1,angry,1,1,13.0416,9.8245,500,0.0075,50.4129
1,angry,1,2,22.4245,16.0902,500,0.0061,81.2102
1,angry,1,4,25.2125,16.871,500,0.2004,73.9423
1,angry,1,8,26.1277,18.1562,500,0.0366,91.2965
1,angry,1,16,28.3511,18.7177,500,0.107,91.7461
1,angry,2,1,13.5153,10.2291,500,0.0029,57.7526
1,angry,2,2,12.2256,9.2318,500,0.0212,62.6792
1,angry,2,4,16.5361,12.6034,500,0.0072,69.2562
1,angry,2,8,18.0484,13.3009,500,0.2122,66.8774
1,angry,2,16,20.6907,14.8097,500,0.0245,66.0897
1,angry,4,1,12.1843,9.8704,500,0.0399,56.3216
1,angry,4,2,12.2727,9.462,500,0.0066,47.4528
1,angry,4,4,12.1392,8.9652,500,0.0179,48.5331
1,angry,4,8,14.5967,11.3457,500,0.0048,52.3439
1,angry,4,16,15.2511,11.389,500,0.0152,64.4533
1,angry,half,1,13.5786,10.1382,500,0.004,61.1743
1,angry,half,2,21.0388,16.2656,500,0.0111,80.9113
1,angry,half,4,16.5438,12.1327,500,0.0651,59.3289
1,angry,half,8,14.4296,10.6867,500,0.1376,56.5148
1,angry,half,16,14.2917,10.1387,500,0.1479,51.7067
1,angry,sqrt,1,12.7695,9.7818,500,0.0118,49.1098
1,angry,sqrt,2,21.543,15.0513,500,0.0598,79.299
1,angry,sqrt,4,17.7674,12.5065,500,0.0041,63.3875
1,angry,sqrt,8,19.7521,14.5267,500,0.0649,72.7136
1,angry,sqrt,16,14.8619,10.7617,500,0.0126,62.2239
1,happy,1,1,12.0771,9.3326,500,0.0277,48.4701
1,happy,1,2,19.7609,14.3067,500,0.0091,62.3862
1,happy,1,4,23.8216,16.0025,500,0.2364,75.034
1,happy,1,8,24.3087,17.3986,500,0.0121,88.7328
1,happy,1,16,25.816,17.3171,500,0.0201,82.6519
1,happy,2,1,10.9978,8.1469,500,0.0028,44.1881
1,happy,2,2,9.9232,8.0451,500,0.0077,43.196
1,happy,2,4,16.555,12.2846,500,0.0524,61.8553
1,happy,2,8,17.7872,12.8887,500,0.0262,67.1336
1,happy,2,16,18.8641,13.8031,500,0.0215,73.8503
1,happy,4,1,11.4713,8.9442,500,0.0004,44.7056
1,happy,4,2,10.5825,7.6479,500,0.0044,40.9196
1,happy,4,4,9.8721,7.8884,500,0.0487,41.1628
1,happy,4,8,12.4396,9.392,500,0.0596,43.8127
1,happy,4,16,13.8641,10.7171,500,0.0243,51.8513
1,happy,half,1,11.7603,8.3976,500,0.0189,43.606
1,happy,half,2,20.7754,14.104,500,0.1301,72.2025
1,happy,half,4,15.7803,11.3381,500,0.0339,51.9801
1,happy,half,8,12.4828,9.5638,500,0.0326,46.8706
1,happy,half,16,10.3436,7.9388,500,0.0112,36.6293
1,happy,sqrt,1,10.8065,8.5426,500,0.0185,43.601
1,happy,sqrt,2,18.3788,14.1488,500,0.0483,69.5574
1,happy,sqrt,4,15.225,11.6967,500,0.0215,60.9096
1,happy,sqrt,8,17.1907,12.8522,500,0.0098,60.8748
1,happy,sqrt,16,14.5346,10.634,500,0.1434,60.1112
2,angry,1,1,12.5237,9.174,500,0.0572,39.839
2,angry,1,2,17.7638,13.1187,500,0.1271,80.682
2,angry,1,4,19.5222,14.5036,500,0.1204,84.3863
2,angry,1,8,20.5469,15.2029,500,0.0367,73.7711
2,angry,1,16,22.1287,14.8077,500,0.0521,69.5489
2,angry,2,1,13.3868,10.0855,500,0.0271,50.798
2,angry,2,2,12.5545,9.2509,500,0.017,49.7372
2,angry,2,4,15.3204,11.8357,500,0.0132,63.473
2,angry,2,8,16.779,11.954,500,0.0422,66.3805
2,angry,2,16,16.6147,12.2692,500,0.0091,59.1846
2,angry,4,1,12.4397,9.5089,500,0.0168,52.8331
2,angry,4,2,12.0069,9.3865,500,0.0078,49.0372
2,angry,4,4,11.4008,8.7156,500,0.0206,45.327
2,angry,4,8,13.6279,9.8386,500,0.0108,62.6048
2,angry,4,16,14.1687,10.4006,500,0.0576,52.697
2,angry,half,1,12.4354,9.8375,500,0.0849,57.6533
2,angry,half,2,17.351,12.8283,500,0.0476,63.61
2,angry,half,4,14.3604,10.9607,500,0.0623,53.7714
2,angry,half,8,13.2898,10.2265,500,0.0099,51.1252
2,angry,half,16,12.5528,9.5138,500,0.0283,56.8489
2,angry,sqrt,1,12.7675,9.9023,500,0.0766,53.1295
2,angry,sqrt,2,18.1243,13.7087,500,0.003,66.8918
2,angry,sqrt,4,15.7121,11.6974,500,0.0067,54.4807
2,angry,sqrt,8,16.3996,12.2989,500,0.0157,64.7931
2,angry,sqrt,16,14.2828,10.3915,500,0.0471,48.3742
2,happy,1,1,11.2785,8.7725,500,0.0065,50.6307
2,happy,1,2,17.2741,12.3417,500,0.129,67.7501
2,happy,1,4,19.7112,14.4467,500,0.0359,83.062
2,happy,1,8,19.7679,12.9163,500,0.025,66.6762
2,happy,1,16,21.699,14.9603,500,0.0053,71.1137
2,happy,2,1,11.4526,9.0183,500,0.0142,45.3592
2,happy,2,2,9.9916,7.3733,500,0.0,35.3638
2,happy,2,4,13.6446,10.9502,500,0.0193,70.7178
2,happy,2,8,14.936,11.7682,500,0.0189,62.7845
2,happy,2,16,16.1563,11.9378,500,0.0197,55.262
2,happy,4,1,11.7629,9.2043,500,0.0004,46.046
2,happy,4,2,10.4044,7.2943,500,0.0049,44.4242
2,happy,4,4,10.3562,7.6522,500,0.05,31.9426
2,happy,4,8,11.4164,8.9449,500,0.0184,48.9783
2,happy,4,16,12.0557,9.2976,500,0.0373,50.6936
2,happy,half,1,11.1154,8.6427,500,0.1036,53.1314
2,happy,half,2,16.6135,12.9141,500,0.0377,67.7023
2,happy,half,4,13.9485,10.6464,500,0.1447,60.6784
2,happy,half,8,11.4278,8.6653,500,0.0197,43.5418
2,happy,half,16,10.6184,8.1987,500,0.0403,45.9447
2,happy,sqrt,1,12.1505,8.9019,500,0.0174,46.275
2,happy,sqrt,2,16.4733,11.916,500,0.0036,60.9944
2,happy,sqrt,4,13.3167,10.2606,500,0.0436,55.2295
2,happy,sqrt,8,14.5817,10.8549,500,0.0119,54.489
2,happy,sqrt,16,12.4289,9.4582,500,0.0203,47.848
3,angry,1,1,13.4622,10.3689,500,0.0213,50.8736
3,angry,1,2,13.7664,10.5777,500,0.0217,58.3274
3,angry,1,4,13.6575,10.2696,500,0.0565,54.0626
3,angry,1,8,14.5408,11.2358,500,0.0579,57.966
3,angry,1,16,14.917,11.6596,500,0.2414,59.9907
3,angry,2,1,13.3026,10.0885,500,0.0302,56.9326
3,angry,2,2,12.1369,8.6683,500,0.0619,43.1504
3,angry,2,4,12.5275,9.3146,500,0.0999,44.8745
3,angry,2,8,13.2744,10.3613,500,0.0635,61.9685
3,angry,2,16,12.8219,10.5142,500,0.0244,52.419
3,angry,4,1,12.7427,9.6187,500,0.1012,59.679
3,angry,4,2,11.6212,8.9067,500,0.1208,55.761
3,angry,4,4,12.6116,9.0546,500,0.0768,54.3537
3,angry,4,8,12.7706,9.907,500,0.0096,60.9923
3,angry,4,16,12.027,9.2429,500,0.0601,56.1009
3,angry,half,1,13.4813,9.933,500,0.0111,59.3347
3,angry,half,2,14.5618,10.8529,500,0.0441,56.3971
3,angry,half,4,13.4038,9.9357,500,0.0257,49.5927
3,angry,half,8,12.1795,9.069,500,0.0176,45.3862
3,angry,half,16,12.1536,8.9196,500,0.0401,50.5878
3,angry,sqrt,1,13.8732,9.9717,500,0.0347,51.0341
3,angry,sqrt,2,13.6273,10.5781,500,0.0042,58.3562
3,angry,sqrt,4,12.5791,9.4863,500,0.002,47.8883
3,angry,sqrt,8,12.6789,9.5818,500,0.0028,48.2313
3,angry,sqrt,16,11.773,8.8934,500,0.1221,45.559
3,happy,1,1,11.142,8.7353,500,0.0355,48.211
3,happy,1,2,12.9744,9.5026,500,0.0134,58.3858
3,happy,1,4,13.316,9.865,500,0.0995,55.2801
3,happy,1,8,13.3899,10.3618,500,0.0648,58.932
3,happy,1,16,13.8706,9.7218,500,0.0015,58.272
3,happy,2,1,11.8969,9.0849,500,0.0574,44.6691
3,happy,2,2,10.5184,7.8789,500,0.054,48.095
3,happy,2,4,10.6092,8.2853,500,0.0098,51.8988
3,happy,2,8,11.4088,8.428,500,0.0466,44.0395
3,happy,2,16,11.4112,8.6652,500,0.0419,52.7392
3,happy,4,1,12.034,9.3971,500,0.0234,53.8163
3,happy,4,2,9.9541,7.8116,500,0.0134,37.1274
3,happy,4,4,10.7441,7.6484,500,0.102,37.4814
3,happy,4,8,9.4905,7.5677,500,0.0027,36.828
3,happy,4,16,10.1378,7.6473,500,0.0124,36.0397
3,happy,half,1,12.224,9.2594,500,0.0073,48.522
3,happy,half,2,12.2016,9.2849,500,0.094,46.5676
3,happy,half,4,10.9116,7.8791,500,0.0055,42.1465
3,happy,half,8,10.3562,7.9828,500,0.0339,42.7823
3,happy,half,16,10.005,7.2838,500,0.0078,37.9232
3,happy,sqrt,1,11.2421,8.1496,500,0.0474,42.7848
3,happy,sqrt,2,12.3563,9.5291,500,0.0931,59.2232
3,happy,sqrt,4,10.9609,7.6528,500,0.0144,44.9686
3,happy,sqrt,8,11.4481,8.6936,500,0.0375,47.4574
3,happy,sqrt,16,10.6525,7.8787,500,0.0161,49.4255
